File,NumCameras,CostFuncType,OldBestCost,NewResCost,NewOccCost,NewCombCost,OldZeroPct,NewZeroPct,NewMinCov,NewAvgCov
8Cams_Run_20260409_180378.mat,8,NaN,0.021429,28.570045,16.316281,0.161391,0.00,0.00,4,7.526
7Cams_Run_20260403_183960.mat,7,NaN,0.237218,17.442592,68.189431,0.164701,0.00,0.00,4,6.901
6Cams_Run_20260331_160789.mat,6,NaN,0.151972,6.777824,115.738246,0.165410,0.00,0.00,3,5.813
6Cams_Run_20260331_190024.mat,6,NaN,0.137067,8.515640,109.336423,0.166824,0.00,0.00,4,5.894
8Cams_Run_20260422_003349.mat,8,NaN,2.510985,32.080064,6.178465,0.167421,0.00,0.00,5,7.017
7Cams_Run_20260429_145556.mat,7,NaN,0.039813,25.917714,35.010921,0.169374,0.00,0.00,5,6.620
7Cams_Run_20260502_001082.mat,7,NaN,0.037898,27.083026,30.933625,0.170567,0.00,0.00,4,6.672
6Cams_Run_20260402_102110.mat,6,NaN,0.012159,32.542647,10.417383,0.174551,0.00,0.00,4,5.619
7Cams_Run_20260419_210143.mat,7,NaN,0.018216,31.930339,14.666048,0.176318,0.00,0.00,4,6.795
6Cams_Run_20260414_190109.mat,6,NaN,11.094818,28.519813,30.586592,0.177357,0.00,0.00,3,5.340
6Cams_Run_20260331_001929.mat,6,NaN,0.127319,15.606745,93.028878,0.183748,0.00,0.00,3,5.736
6Cams_Run_20260401_050977.mat,6,NaN,13.617797,24.701492,55.272844,0.186318,0.00,0.00,2,5.491
6Cams_Run_20260331_202643.mat,6,NaN,0.044826,11.992577,117.804350,0.193831,0.00,0.00,4,5.832
6Cams_Run_20260414_120493.mat,6,NaN,0.044826,11.992577,117.804350,0.193831,0.00,0.00,4,5.832
6Cams_Run_20260414_124995.mat,6,NaN,0.044826,11.992577,117.804350,0.193831,0.00,0.00,4,5.832
6Cams_Run_20260414_133381.mat,6,NaN,0.044826,11.992577,117.804350,0.193831,0.00,0.00,4,5.832
7Cams_Run_20260405_221964.mat,7,NaN,0.018874,34.579573,20.786619,0.196519,0.00,0.00,5,6.713
7Cams_Run_20260420_023008.mat,7,NaN,0.018874,34.579573,20.786619,0.196519,0.00,0.00,5,6.713
6Cams_Run_20260414_152371.mat,6,NaN,10.677268,36.111336,18.140786,0.201171,0.00,0.00,2,5.392
6Cams_Run_20260401_065380.mat,6,NaN,8.187253,38.809724,14.396433,0.210408,0.00,0.00,4,5.539
7Cams_Run_20260429_150643.mat,7,NaN,0.052984,35.736226,41.985971,0.226392,0.00,0.00,4,6.537
8Cams_Run_20260410_015574.mat,8,NaN,0.017489,41.505122,17.301423,0.227186,0.00,0.00,3,7.125
8Cams_Run_20260421_221599.mat,8,NaN,0.203994,27.925856,80.880810,0.231539,0.00,0.00,2,7.529
7Cams_Run_20260420_033634.mat,7,NaN,0.008770,44.822535,8.766434,0.234075,0.00,0.00,5,6.708
7Cams_Run_20260418_143062.mat,7,NaN,3.504184,42.588511,33.187762,0.250656,0.00,0.00,4,6.211
8Cams_Run_20260407_102610.mat,8,NaN,0.206582,27.787237,105.301117,0.258597,0.00,0.00,5,7.602
8Cams_Run_20260421_153928.mat,8,NaN,0.206582,27.787237,105.301117,0.258597,0.00,0.00,5,7.602
6Cams_Run_20260402_093377.mat,6,NaN,0.043674,44.245360,43.208956,0.270328,0.00,0.00,4,5.491
8Cams_Run_20260408_082340.mat,8,NaN,4.940528,53.135333,10.903179,0.278067,0.00,0.00,5,6.927
8Cams_Run_20260408_092843.mat,8,NaN,0.000000,65.512724,6.526720,0.334980,0.00,0.00,5,7.145
7Cams_Run_20260418_140273.mat,7,NaN,3.935658,63.631478,16.661215,0.337091,0.00,0.00,5,6.476
6Cams_Run_20260415_150295.mat,6,NaN,2.456470,66.603667,7.359641,0.341382,0.00,0.00,4,5.618
7Cams_Run_20260419_220697.mat,7,NaN,0.012553,59.728420,44.964664,0.349738,0.00,0.00,4,5.998
6Cams_Run_20260331_173471.mat,6,NaN,0.064405,1.980042,308.167935,0.360091,0.00,0.00,3,5.651
7Cams_Run_20260417_221162.mat,7,NaN,0.102540,46.595181,113.324164,0.361753,0.00,0.00,4,6.564
8Cams_Run_20260407_142292.mat,8,NaN,0.328135,63.875575,105.586104,0.439362,0.00,0.00,4,7.341
6Cams_Run_20260401_085538.mat,6,NaN,4.524154,161.105538,26.825055,0.836011,0.00,0.00,2,5.635
7Cams_Run_20260429_151671.mat,7,NaN,0.038165,207.939313,36.567474,1.081251,0.00,0.00,5,6.519
